sparsity,swap_ratio,bandwidth,alpha,calib_batches,clip_residual,ppl
0.5,0.002,0.01,0.3,8,0,7.103652000427246
0.5,0.002,0.01,0.5,8,0,7.090969562530518
0.5,0.002,0.01,0.7,8,0,7.086674690246582
0.5,0.002,0.02,0.3,8,0,7.09904670715332
0.5,0.002,0.02,0.5,8,0,7.087796688079834
0.5,0.005,0.01,0.3,8,0,7.0930495262146
0.5,0.002,0.02,0.7,8,0,7.086686134338379
0.5,0.005,0.01,0.5,8,0,7.090871334075928
0.5,0.005,0.01,0.7,8,0,7.091491222381592
0.5,0.005,0.02,0.3,8,0,7.091823101043701
0.5,0.005,0.02,0.5,8,0,7.085438251495361
0.5,0.005,0.02,0.7,8,0,7.0996551513671875
0.7,0.002,0.01,0.5,8,0,75.00747680664062
0.7,0.002,0.01,0.3,8,0,78.0303726196289
0.7,0.002,0.01,0.7,8,0,78.16339111328125
0.7,0.002,0.02,0.3,8,0,75.50009155273438
0.7,0.002,0.02,0.5,8,0,70.40449523925781
0.7,0.002,0.02,0.7,8,0,74.40350341796875
0.7,0.005,0.01,0.3,8,0,78.63839721679688
0.7,0.005,0.01,0.7,8,0,71.43730926513672
0.7,0.005,0.01,0.5,8,0,77.751220703125
0.7,0.005,0.02,0.3,8,0,72.97224426269531
0.7,0.005,0.02,0.5,8,0,74.93780517578125
0.7,0.005,0.02,0.7,8,0,76.23519897460938
0.5,0.003,0.02,0.5,8,0,7.09800910949707
0.5,0.003,0.02,0.5,16,0,7.103127956390381
0.5,0.004,0.02,0.5,8,0,7.102074146270752
0.5,0.005,0.02,0.5,8,0,7.085438251495361
0.5,0.004,0.02,0.5,16,0,7.109163284301758
0.5,0.005,0.02,0.5,16,0,7.103548526763916
0.5,0.006,0.02,0.5,8,0,7.083627223968506
0.5,0.006,0.02,0.5,16,0,7.09737491607666
0.5,0.001,0.01,0.7,8,0,7.09112548828125
0.5,0.001,0.01,0.7,16,0,7.088907241821289
0.5,0.002,0.01,0.7,8,0,7.086674690246582
0.5,0.002,0.01,0.7,16,0,7.095970153808594
0.5,0.002,0.01,0.7,8,0,7.086674690246582
0.5,0.002,0.01,0.7,16,0,7.095970153808594
0.5,0.002,0.01,0.7,16,0,7.095970153808594
0.5,0.002,0.01,0.7,8,0,7.086674690246582
0.5,0.001,0.02,0.7,8,0,7.091967582702637
0.5,0.001,0.02,0.7,16,0,7.0971879959106445
0.5,0.002,0.02,0.7,8,0,7.086686134338379
0.5,0.002,0.02,0.7,8,0,7.086686134338379
0.5,0.002,0.02,0.7,16,0,matches
0.5,0.002,0.02,0.7,16,0,7.094621181488037
0.5,0.002,0.02,0.7,8,0,7.086686134338379
0.5,0.002,0.02,0.7,16,0,7.094621181488037
0.7,0.001,0.02,0.5,8,0,74.8067398071289
0.7,0.001,0.02,0.5,16,0,74.17332458496094
0.7,0.002,0.02,0.5,8,0,70.40449523925781
0.7,0.002,0.02,0.5,16,0,75.90061950683594
0.7,0.002,0.02,0.5,8,0,70.40449523925781
0.7,0.002,0.02,0.5,16,0,75.90061950683594
0.7,0.002,0.02,0.5,16,0,75.90061950683594
0.7,0.002,0.02,0.5,8,0,70.40449523925781
0.7,0.003,0.01,0.7,8,0,76.5617904663086
0.7,0.003,0.01,0.7,16,0,76.67621612548828
0.7,0.004,0.01,0.7,8,0,77.4078140258789
0.7,0.005,0.01,0.7,8,0,71.43730926513672
0.7,0.004,0.01,0.7,16,0,75.5614242553711
0.7,0.005,0.01,0.7,16,0,77.89208221435547
0.7,0.006,0.01,0.7,8,0,77.3206787109375
0.7,0.006,0.01,0.7,16,0,74.61461639404297
0.7,0.003,0.02,0.3,8,0,76.31914520263672
0.7,0.003,0.02,0.3,16,0,75.09444427490234
0.7,0.004,0.02,0.3,8,0,74.37899780273438
0.7,0.004,0.02,0.3,16,0,76.41706085205078
0.7,0.005,0.02,0.3,8,0,72.97224426269531
0.7,0.005,0.02,0.3,16,0,71.65316009521484
0.7,0.006,0.02,0.3,8,0,71.6087875366211
0.7,0.006,0.02,0.3,16,0,73.03427124023438
0.5,0.002,0.02,0.7,16,0,7.094621181488037
0.5,0.002,0.02,0.7,16,1.0,7.092125415802002
0.5,0.002,0.02,0.7,16,2.0,7.094634532928467
0.5,0.002,0.02,0.7,16,4.0,7.094621181488037
0.7,0.002,0.02,0.5,8,0,70.40449523925781
0.7,0.002,0.02,0.5,8,2.0,71.18629455566406
0.7,0.002,0.02,0.5,8,1.0,69.95110321044922
0.7,0.002,0.02,0.5,8,4.0,71.02222442626953
